Symbol,Name,Type,Date,Shares,Price,Cash value,Commission,Notes
SIP.BR,SIPEF NV,Buy,"May 24, 2017",2,54.65,-109.30,0,
SIP.BR,SIPEF NV,Buy,"Aug 29, 2019",27,40.09,,0,
LHN.SW,Lafargeholcim Ltd,Buy,"Jul 14, 2015",13,70.68,,0,
LHN.SW,Lafargeholcim Ltd,Buy,"Nov 13, 2019",40,51.67,,0,
CYAD.BR,Celyad SA,Buy,"Aug 21, 2015",18,46.11,-838.22,8.24,
CYAD.BR,Celyad SA,Buy,"Oct 16, 2015",14,33.41,-475.00,7.26,
CYAD.BR,Celyad SA,Sell,"Sep 8, 2017",-32,43.46,1386.97,3.75,
CYAD.BR,Celyad SA,Buy,"Nov 14, 2017",23,40.46,,0,
BEFB.BR,Befimmo SA,Buy,"Aug 24, 2015",16,53.6,,6.77,
RDSA.AS,Royal Dutch Shell Plc,Buy,"Aug 26, 2015",45,21.6,,8.62,
RDSA.AS,Royal Dutch Shell Plc,Buy,"Feb 21, 2018",40,25.75,,15,
UMI.BR,Umicore SA,Buy,"Sep 4, 2015",28,35.92,,8.72,
UMI.BR,Umicore SA,Buy,"Feb 8, 2016",17,33.7,,7.55,
UMI.BR,Umicore SA,Sell,"Aug 29, 2016",-22,53.5,,9.93,
UMI.BR,Umicore SA,Buy,"Oct 23, 2017",23,0,,0,
UMI.BR,Umicore SA,Buy,"May 10, 2019",40,30.98,,0,
SOLB.BR,Solvay SA,Buy,"Sep 17, 2015",10,100.55,-1014.21,8.71,
SOLB.BR,Solvay SA,Buy,"Sep 24, 2015",6,92.2,,7.49,
SOLB.BR,Solvay SA,Buy,"Dec 22, 2015",4,70.83,,0,AK
SOLB.BR,Solvay SA,Buy,"Jan 8, 2016",6,87.99,,7.43,
SOLB.BR,Solvay SA,Sell,"Feb 17, 2017",-9,115.65,1031.60,9.25,
SOLB.BR,Solvay SA,Buy,"Aug 8, 2017",9,124.5,,3.03,
SOLB.BR,Solvay SA,Buy,"Oct 26, 2018",15,99,,0,
SOLB.BR,Solvay SA,Buy,"Dec 10, 2018",15,91.507,,0,
SOLB.BR,Solvay SA,Sell,"Oct 21, 2019",17,97.46,,0,
MDXH.BR,MDxHealth SA,Buy,"Sep 28, 2015",160,4.02,,7.74,
MDXH.BR,MDxHealth SA,Buy,"May 8, 2017",160,4.87,,2.1,
PROX.BR,Proximus NV,Buy,"Dec 9, 2015",35,29.55,,8.79,
PROX.BR,Proximus NV,Buy,"Oct 13, 2016",40,25.51,,9.51,
PROX.BR,Proximus NV,Buy,"Mar 19, 2018",28,25.45,,0,
PROX.BR,Proximus NV,Buy,"Jun 19, 2018",50,21.02,,0,
PROX.BR,Proximus NV,Buy,"Sep 28, 2018",65,20.79,,0,
INGA.AS,ING Groep NV,Buy,"Dec 22, 2015",85,12.1,,8.78,
INGA.AS,ING Groep NV,Buy,"Feb 9, 2016",60,9.72,,7.58,
INGA.AS,ING Groep NV,Buy,"Feb 8, 2019",120,10.82,,0,
INGA.AS,ING Groep NV,Buy,"Aug 16, 2019",150,8.34,,0,
BNP.PA,BNP Paribas SA,Buy,"Jan 12, 2016",15,48.985,-744.22,9.45,
BNP.PA,BNP Paribas SA,Buy,"Jan 20, 2016",12,42.82,-522.26,8.42,
BNP.PA,BNP Paribas SA,Sell,"Jan 9, 2017",-27,61.96,1658.65,14.27,
BNP.PA,BNP Paribas SA,Buy,"Sep 8, 2017",16,62.56,,5.7,
BNP.PA,BNP Paribas SA,Buy,"Jan 8, 2018",16,64.88,,0,
BNP.PA,BNP Paribas SA,Buy,"Aug 15, 2018",20,51.77,,0,
BNP.PA,BNP Paribas SA,Buy,"Dec 18, 2018",30,41.36,,0,
BNP.PA,BNP Paribas SA,Buy,"Aug 12, 2019",30,40.164,,0,
ABN.AS,ABN AMRO Group NV,Buy,"Jan 12, 2016",31,19.48,,7.63,
ABN.AS,ABN AMRO Group NV,Buy,"Jan 15, 2016",27,18.8,,7.37,
ABN.AS,ABN AMRO Group NV,Buy,"Mar 28, 2018",45,24.24,,0,
ABN.AS,ABN AMRO Group NV,Buy,"May 14, 2018",40,25.552,,0,
ABN.AS,ABN AMRO Group NV,Buy,"Nov 20, 2019",80,16.18,,0,
EURN.BR,Euronav NV,Buy,"May 2, 2016",80,9.5,,8.8,
EURN.BR,Euronav NV,Buy,"Aug 2, 2016",80,7.51,,8.37,
EURN.BR,Euronav NV,Buy,"Sep 8, 2017",80,6.68,,1.44,
EURN.BR,Euronav NV,Buy,"Aug 6, 2019",180,7.08,,0,
EURN.BR,Euronav NV,Sell,"Sep 27, 2019",180,8.28,,0,
EURN.BR,Euronav NV,Sell,"Oct 24, 2019",240,10.48,,0,
ACKB.BR,Ackermans & van Haaren NV,Buy,"Jun 13, 2016",8,110.4,,9.13,
ACKB.BR,Ackermans & van Haaren NV,Buy,"Nov 27, 2019",10,138.255,,0,
TOM2.AS,TomTom NV,Buy,"Jun 13, 2016",100,7.33,-744.73,11.73,
TOM2.AS,TomTom NV,Sell,"Jul 19, 2017",-100,9.17,914.52,2.48,
TOM2.AS,TomTom NV,Buy,"Jan 4, 2018",115,8.1866,,0,
TOM2.AS,TomTom NV,Sell,"May 11, 2018",115,8.485,,0,
SDF.DE,K&S AG,Buy,"Jun 15, 2016",45,20.02,,22.18,
ORA.PA,Orange SA,Buy,"Sep 13, 2016",60,13.25,,13.49,
ORA.PA,Orange SA,Buy,"Sep 7, 2017",65,13.82,,5.12,
ORA.PA,Orange SA,Buy,"Sep 15, 2017",35,13.93,,2.78,
ORA.PA,Orange SA,Buy,"Dec 8, 2017",70,14.879,,0,
FTI.PA,TechnipFMC PLC,Buy,"Jan 18, 2017",32,33.705,,0,
CA.PA,Carrefour SA,Buy,"Feb 21, 2017",46,22.4,,15.62,
CA.PA,Carrefour SA,Buy,"Aug 25, 2017",40,19.7,-792.49,4.49,
CA.PA,Carrefour SA,Buy,"Aug 31, 2017",25,16.68,,2.38,
CA.PA,Carrefour SA,Buy,"Jan 23, 2018",50,19.8184,-990.92,0,ordre realise par erreur
CA.PA,Carrefour SA,Sell,"Jan 23, 2018",90,19.373,1743.57,0,
CA.PA,Carrefour SA,Buy,"Oct 23, 2019",75,15.042,,0,
BRNL.AS,Brunel International NV,Buy,"Feb 23, 2017",65,16.07,,12.57,
BRNL.AS,Brunel International NV,Buy,"Feb 23, 2017",65,15.91,,12.54,
BRNL.AS,Brunel International NV,Buy,"Aug 29, 2017",100,10.92,-1094.95,2.95,
BRNL.AS,Brunel International NV,Sell,"Feb 23, 2018",-100,15.42,1527.00,15,
BN.PA,Danone SA,Buy,"May 3, 2017",17,63.98,,6.2,
BN.PA,Danone SA,Buy,"Aug 22, 2017",12,66.41,,4.54,
BN.PA,Danone SA,Buy,"Feb 16, 2018",12,66.17,,0,
ABI.BR,AB INBEV,Buy,"Apr 30, 2015",8,110.94625,,0,
ABI.BR,AB INBEV,Buy,"Aug 24, 2017",12,98.43,,3.19,
ABI.BR,AB INBEV,Buy,"Jan 4, 2018",7,95.36,,0,
ABI.BR,AB INBEV,Buy,"Jan 23, 2018",8,95.015,,0,
BOKA.AS,Koninklijke Boskalis Westminster NV,Buy,"May 12, 2017",28,31.46,,2.38,
BOKA.AS,Koninklijke Boskalis Westminster NV,Buy,"Sep 12, 2017",30,28.48,,2.31,
BOKA.AS,Koninklijke Boskalis Westminster NV,Buy,"Nov 10, 2017",35,30.12,,0,
BOKA.AS,Koninklijke Boskalis Westminster NV,Buy,"May 28, 2018",45,23.72,,0,
BOKA.AS,Koninklijke Boskalis Westminster NV,Sell,"Sep 25, 2018",50,28.20,,0,
BOKA.AS,Koninklijke Boskalis Westminster NV,Buy,"Oct 23, 2018",50,24.30,,0,
GBLB.BR,Groep Brussel Lambert NV,Buy,"May 16, 2017",11,88,,2.61,
GBLB.BR,Groep Brussel Lambert NV,Buy,"Aug 29, 2017",12,85.05,,2.76,
GBLB.BR,Groep Brussel Lambert NV,Buy,"Mar 23, 2018",11,91.47,,0,
GBLB.BR,Groep Brussel Lambert NV,Buy,"Oct 19, 2018",15,80.964,,0,
GBLB.BR,Groep Brussel Lambert NV,Buy,"Aug 14, 2018",16,80.5,,0,
AKAM,"Akamai Technologies, Inc.",Buy,"May 17, 2017",23,48.24,-1142.12,32.6,
AKAM,"Akamai Technologies, Inc.",Buy,"Jul 26, 2017",30,45.8574,-1410.51,34.79,
AKAM,"Akamai Technologies, Inc.",Sell,"Dec 18, 2017",-53,65.24,3457.72,0,
FP.PA,Total SA,Buy,"Jun 6, 2017",25,45.68,,6.51,
FP.PA,Total SA,Buy,"Aug 22, 2017",35,43.18,,8.61,
FP.PA,Total SA,Buy,"Sep 15, 2017",15,44.93,,3.84,
AD.AS,Koninklijke Ahold Delhaize NV,Buy,"Jun 21, 2017",50,15.98,,2.16,
AD.AS,Koninklijke Ahold Delhaize NV,Buy,"Aug 11, 2017",60,16.98,,2.75,
AD.AS,Koninklijke Ahold Delhaize NV,Buy,"Aug 25, 2017",32,15.8,,1.37,
AD.AS,Koninklijke Ahold Delhaize NV,Sell,"Aug 7, 2018",142,20.945,,0,
GE,General Electric Company,Buy,"Jun 21, 2017",50,28.017,,35.83,
GE,General Electric Company,Buy,"Aug 31, 2017",60,24.919,,0,
GE,General Electric Company,Buy,"Nov 7, 2017",55,20.47,,0,
IBAB.BR,Ion Beam Applications SA,Buy,"Jul 5, 2017",25,36.75,,2.48,
IBAB.BR,Ion Beam Applications SA,Buy,"Aug 24, 2017",23,25.61,,1.73,
IBAB.BR,Ion Beam Applications SA,Buy,"Aug 24, 2017",2,25.61,-51.22,0,
IBAB.BR,Ion Beam Applications SA,Buy,"Jan 5, 2018",30,19.35,-592.50,12,
IBAB.BR,Ion Beam Applications SA,Sell,"Jan 15, 2018",-32,19.42,609.44,12,
FUR.AS,Fugro N.V,Buy,"Aug 8, 2017",80,11.665,,2.52,
FUR.AS,Fugro N.V,Buy,"Oct 11, 2017",100,11.66,,12.9,
MKC,"McCormick & Company, Incorporated",Buy,"Aug 8, 2017",20,94.39,,40.23,
MKC,"McCormick & Company, Incorporated",Sell,"Nov 30, 2018",20,147.85,,0,
IBM,International Business Machines Corp.,Buy,"Aug 8, 2017",10,142.5,,35.22,
IBM,International Business Machines Corp.,Buy,"Apr 18, 2017",11,152.95,,35.22,to be completed
SAN.PA,Sanofi SA,Buy,"Aug 11, 2017",15,80.23,,6.86,
SAN.PA,Sanofi SA,Buy,"Sep 15, 2017",6,82.12,,2.81,
SAN.PA,Sanofi SA,Buy,"Dec 12, 2017",10,74.473,,0,
SAN.PA,Sanofi SA,Buy,"Jan 22, 2018",12,72.38,,0,
SAN.PA,Sanofi SA,Buy,"Apr 27, 2018",15,65.88,,0,
SAN.PA,Sanofi SA,Sell,"Nov 9, 2018",20,79.43,,0,
QCOM,"QUALCOMM, Inc.",Buy,"Aug 14, 2017",45,53.04,,45.72,
QCOM,"QUALCOMM, Inc.",Buy,"Nov 28, 2017",22,68.3,,0,
QCOM,"QUALCOMM, Inc.",Sell,"Mar 13, 2018",-22,59.3072,,0,
QCOM,"QUALCOMM, Inc.",Sell,"Nov 6, 2019",45,83.78,,0,
WHA.AS,Wereldhave NV,Buy,"Aug 15, 2017",60,41.42,,6.71,
WHA.AS,Wereldhave NV,Buy,"Feb 19, 2018",25,30.5,,15,
GXG,Global X MSCI Colombia ETF,Buy,"Aug 15, 2017",300,9.89,,38.05,
GXG,Global X MSCI Colombia ETF,Buy,"Sep 8, 2017",180,10.683,,0,
INTO.BR,Intervest Offices & Warehouses NV,Buy,"Aug 24, 2017",40,22.85,,0.82,
INTO.BR,Intervest Offices & Warehouses NV,Buy,"Nov 30, 2018",10,18.50,,0,
OPN.PA,Groupe Open S.A.,Buy,"Aug 24, 2017",35,26.8,,2.53,
ETL.PA,Eutelsat Communications SA,Buy,"Aug 29, 2017",45,23.64,,6.06,
ETL.PA,Eutelsat Communications SA,Buy,"Oct 27, 2017",45,20.28,,0,
ETL.PA,Eutelsat Communications SA,Buy,"Nov 21, 2017",50,19.3816,,0,
ETL.PA,Eutelsat Communications SA,Buy,"Aug 7, 2018",85,20.586,,0,
CSCO,"Cisco Systems, Inc.",Buy,"Sep 6, 2017",50,32.417,,0,
CSCO,"Cisco Systems, Inc.",Sell,"Mar 12, 2019",50,51.85,,0,
SOF.BR,Sofina SA,Buy,"Sep 7, 2017",8,124.15,,2.68,
KA.AS,Kas Bank N.V.,Buy,"Sep 8, 2017",110,10.24,,3.04,
KA.AS,Kas Bank N.V.,Sell,"Apr 16, 2019",110,12.22,,0,
SU.PA,Schneider Electric SE,Buy,"Sep 11, 2017",15,70.9,,6.06,
XFAB.PA,X Fab Silicon Foundries EV,Buy,"Sep 19, 2017",130,7.35,,12.33,
XFAB.PA,X Fab Silicon Foundries EV,Buy,"Feb 15, 2018",100,9,,0,
XFAB.PA,X Fab Silicon Foundries EV,Buy,"Nov 30, 2018",200,5.42,,0,
AAPL,Apple Inc.,Buy,"Sep 21, 2017",9,156.95466,,0,
AAPL,Apple Inc.,Buy,"Nov 15, 2017",9,170.84,,0,
AAPL,Apple Inc.,Sell,"Oct 1, 2019",9,223.02,,0,
POM.PA,Compagnie Plastic Omnium SA,Buy,"Sep 22, 2017",27,36.1111,,0,
POM.PA,Compagnie Plastic Omnium SA,Sell,"Dec 18, 2017",-27,36.32,,0,
POM.PA,Compagnie Plastic Omnium SA,Buy,"Sep 3, 2018",35,33.59,,0,
POM.PA,Compagnie Plastic Omnium SA,Buy,"Dec 20, 2018",60,19.08,,0,
GDX,VanEck Vectors Gold Miners ETF,Buy,"Sep 22, 2017",140,23.54548,,0,
BB.PA,Societe B I C SA,Buy,"Sep 25, 2017",9,102.45,-934.29,12.24,
BB.PA,Societe B I C SA,Buy,"Oct 25, 2017",11,84.44,,0,
BB.PA,Societe B I C SA,Sell,"Jan 17, 2018",-9,96.92,872.28,0,
SZU.DE,Suedzucker AG,Buy,"Oct 12, 2017",70,17.0347,,0,
SZU.DE,Suedzucker AG,Buy,"Dec 22, 2017",50,17.7,,0,
ALD.PA,Ald SA,Buy,"Oct 23, 2017",90,12.9379,,0,
BOI.PA,Boiron SA,Buy,"Oct 25, 2017",13,78.77,,0,
CO.PA,Casino Guichard Perrachon SA,Buy,"Nov 6, 2017",23,48.9548,,0,
ATC.AS,Altice NV,Buy,"Nov 7, 2017",10,12.1624,,0,
ATC.AS,Altice NV,Buy,"Nov 7, 2017",65,12.1624,-790.55,0,
ATC.AS,Altice NV,Buy,"Dec 7, 2017",60,7.88,,0,
ATC.AS,Altice NV,Sell,"Jan 9, 2018",-65,10.119,657.73,0,
ECMPA.AS,Eurocommercial Properties NV,Buy,"Nov 9, 2017",30,35.219,,0,
ECMPA.AS,Eurocommercial Properties NV,Buy,"Jan 11, 2018",30,37.314,,0,
AMPLI.PA,Amplitude Surgical SA,Buy,"Nov 9, 2017",220,4.211,,0,
AMPLI.PA,Amplitude Surgical SA,Buy,"Jan 2, 2018",170,3.647,,0,
AMPLI.PA,Amplitude Surgical SA,Sell,"Jan 5, 2018",-150,3.914,,0,
GFI,Gold Fields Limited (ADR),Buy,"Nov 9, 2017",400,4.06,,0,
SYMC,Symantec Corporation,Buy,"Nov 14, 2017",43,28.108,,0,
DIE.BR,D'Ieteren SA,Buy,"Nov 21, 2017",30,39.65,,0,
DIE.BR,D'Ieteren SA,Buy,"Mar 23, 2018",33,33.215,,0,
ENGI.PA,Engie SA,Buy,"Nov 21, 2017",65,14.54,,0,
ENGI.PA,Engie SA,Buy,"Feb 13, 2018",90,12.62,,0,
GLE.PA,Societe Generale SA,Buy,"Dec 4, 2017",25,43.4412,,0,
GLE.PA,Societe Generale SA,Buy,"Feb 8, 2018",20,45.7455,,0,
GLE.PA,Societe Generale SA,Buy,"Feb 7, 2019",50,25.48,,0,
FB,Facebook Inc,Buy,"Dec 4, 2017",8,175.51,,0,
KN.PA,Natixis SA,Buy,"Dec 12, 2017",150,6.883,,0,
KN.PA,Natixis SA,Buy,"Sep 10, 2018",220,5.87,,0,
KN.PA,Natixis SA,Buy,"Sep 9, 2019",325,3.64,,0,
LI.PA,Klepierre SA,Buy,"Dec 12, 2017",30,36.121,,0,
VRAP.PA,Vranken-Pommery Monopole SA,Buy,"Dec 12, 2017",45,23.975,,0,
BAMNB.AS,Koninklijke BAM Groep NV,Buy,"Dec 13, 2017",247,3.649,,0,
SDY.L,Speedy Hire Plc,Buy,"Dec 14, 2017",1650,55.47,,0,
UL.AS,UNIBAIL-RODAMCO,Buy,"Dec 18, 2017",5,216.528,,0,
UL.AS,UNIBAIL-RODAMCO,Sell,"May 28, 2018",5,187.036,,0,
URW.AS,UNIBAIL-RODAMCO,Buy,"May 8, 2019",9,150.3,,0,
SGO.PA,Compagnie de Saint Gobain SA,Buy,"Dec 27, 2017",22,46.855,,0,
SGO.PA,Compagnie de Saint Gobain SA,Buy,"Jun 19, 2018",25,39.9284,,0,
SGO.PA,Compagnie de Saint Gobain SA,Buy,"Aug 2, 2018",35,37.38,,0,
SGO.PA,Compagnie de Saint Gobain SA,Buy,"Jan 23, 2019",35,30.06,,0,
PUB.PA,Publicis Groupe SA,Buy,"Dec 27, 2017",17,57.416,,0,
ACA.PA,Credit Agricole SA,Buy,"Jan 5, 2018",70,14.789,,0,
SCM,Stellus Capital Investment Corp,Buy,"Jan 5, 2018",120,12.55,,0,
CAP.PA,Capgemini SE,Buy,"Jan 8, 2018",10,104.034,,0,
CAP.PA,Capgemini SE,Buy,"Oct 9, 2019",12,104.17,,0,
STRN.AS,Stern Groep NV,Buy,"Jan 9, 2018",50,20.2048,,0,
VGP.BR,VGP NV,Buy,"Jan 16, 2018",17,65.05,,0,
OFS,OFS Capital Corp,Buy,"Jan 19, 2018",110,12.12,,0,
SEV.PA,Suez SA,Buy,"Jan 22, 2018",75,13.96,,0,
SEV.PA,Suez SA,Buy,"Jan 24, 2018",45,12,,0,
SEV.PA,Suez SA,Buy,"Feb 6, 2018",65,11.54,,0,
ECONB.BR,Econocom Group SE,Buy,"Jan 22, 2018",160,6.664,,0,
ECONB.BR,Econocom Group SE,Buy,"Mar 5, 2018",165,6.24,,0,
ECONB.BR,Econocom Group SE,Buy,"Apr 20, 2018",180,5.56,,0,
ECONB.BR,Econocom Group SE,Buy,"Jul 6, 2018",310,3.475,,0,
CEN.PA,Groupe CRIT SA,Buy,"Jan 22, 2018",14,76.16,,0,
NOKIA.HE,Nokia Oyj,Buy,"Jan 23, 2018",350,4.077,,0,
NOKIA.HE,Nokia Oyj,Buy,"May 7, 2019",275,4.52,,0,
NOKIA.HE,Nokia Oyj,Buy,"Aug 28, 2019",270,4.52,,0,
STM.PA,STMicroelectronics NV,Buy,"Jan 24, 2018",55,19.37,,0,
STM.PA,STMicroelectronics NV,Sell,"May 15, 2018",55,20.49,,0,
F,Ford Motor Company,Buy,"Jan 24, 2018",135,12.132,,0,
VWS.DE,Vestas Wind Systems A/S,Buy,"Jan 29, 2018",21,54.67,,0,
VWS.DE,Vestas Wind Systems A/S,Sell,"Nov 7, 2019",21,79.57,,0,
CELG,Celgene Corporation,Buy,"Jan 29, 2018",30,104,,0,
CELG,Celgene Corporation,Sell,"Apr 16, 2019",30,94.26,,0,
T,AT&T Inc.,Buy,"Feb 6, 2018",38,36.444,,0,
NTR,Nutrien Ltd.,Buy,"Feb 6, 2018",35,46.514,,0,
CS.PA,Axa SA,Buy,"Feb 9, 2018",42,25.42,,0,
CS.PA,Axa SA,Buy,"Feb 9, 2018",42,25.52,,0,
CS.PA,Axa SA,Buy,"Mar 5, 2018",33,24.159,,0,
CS.PA,Axa SA,Buy,"Apr 4, 2018",35,21.653,,0,
CS.PA,Axa SA,Buy,"Aug 8, 2018",55,21.913,,0,
DTE.DE,Deutsche Telekom AG,Buy,"Feb 22, 2018",100,13.05,,0,
SIE.DE,Siemens AG,Buy,"Mar 5, 2018",12,104.31,,0,
XOM,Exxon Mobil Corporation,Buy,"Mar 8, 2018",25,74.55,,0,
CYAD.BR,Celyad SA,Buy,"Mar 8, 2018",30,31.81,,0,
BPOST.BR,Bpost SA,Buy,"Mar 14, 2018",50,23.105,,0,
BPOST.BR,Bpost SA,Buy,"Mar 28, 2018",45,18.53,,0,
BPOST.BR,Bpost SA,Buy,"May 3, 2018",51,16.05,,0,
BPOST.BR,Bpost SA,Buy,"Dec 4, 2018",120,9.012,,0,
VIRP.PA,Virbac SA,Buy,"Mar 16, 2018",10,106.543,,0,
VIRP.PA,Virbac SA,Sell,"Sep 17, 2019",10,188.36,,0,
MDM.PA,Maisons du Monde SA,Buy,"Mar 16, 2018",35,30.624,,0,
VIE.PA,Veolia Environnement S.A.,Buy,"Mar 20, 2018",60,19.29,,0,
RRTL.DE,RTL Group SA,Buy,"Mar 22, 2018",18,67.89,,0,
RRTL.DE,RTL Group SA,Buy,"Nov 21, 2019",33,42.04,,0,
AKA.PA,Akka Technologies,Buy,"Mar 22, 2018",20,52.97,,0,
AGN.AS,AEGON NV,Buy,"Mar 22, 2018",230,5.51,,0,
AGN.AS,AEGON NV,Buy,"Aug 20, 2018",200,5.32,,0,
NESN.SW,Nestle SA,Buy,"Mar 26, 2018",20,75.05,,0,
ABCA.PA,ABC Arbitrage SA,Buy,"Mar 28, 2018",180,6.78,,0,
SO.PA,Somfy SA,Buy,"Mar 28, 2018",12,84.605,,0,
NK.PA,Imerys SA,Buy,"Apr 12, 2018",14,78.12,,0,
ELIS.PA,Elis SA,Buy,"Apr 13, 2018",60,19.2,,0,
ELIS.PA,Elis SA,Buy,"Nov 19, 2018",60,17.42,,0,
GLPG.AS,Galapagos NA,Buy,"Apr 16, 2018",13,80.22,,0,
APAM.AS,Aperam SA,Buy,"Apr 17, 2018",27,41.81,,0,
